MeasureItem;Month;Year;Category;Area;MeasureItemID;CreationDate;Representativity;ProvidedValue;ProvidedValueCode
Monthly Domestic Values;1;2025;Biomass;AT;B01;04/09/2025 15:48;100;196,074;
Monthly Domestic Values;2;2025;Biomass;AT;B01;04/09/2025 15:48;100;169,478;
Monthly Domestic Values;3;2025;Biomass;AT;B01;04/09/2025 15:48;100;187,343;
Monthly Domestic Values;4;2025;Biomass;AT;B01;04/09/2025 15:48;100;166,154;
Monthly Domestic Values;5;2025;Biomass;AT;B01;04/09/2025 15:48;100;175,132;
Monthly Domestic Values;6;2025;Biomass;AT;B01;04/09/2025 15:48;100;115,023;
Monthly Domestic Values;1;2025;Consumption of Hydro Pumped Storage;AT;(B10);04/09/2025 15:51;100;266,1746;
Monthly Domestic Values;2;2025;Consumption of Hydro Pumped Storage;AT;(B10);04/09/2025 15:51;100;176,7434;
Monthly Domestic Values;3;2025;Consumption of Hydro Pumped Storage;AT;(B10);04/09/2025 15:51;100;257,8492;
Monthly Domestic Values;4;2025;Consumption of Hydro Pumped Storage;AT;(B10);04/09/2025 15:51;100;250,154;
Monthly Domestic Values;5;2025;Consumption of Hydro Pumped Storage;AT;(B10);04/09/2025 15:51;100;391,9681;
Monthly Domestic Values;6;2025;Consumption of Hydro Pumped Storage;AT;(B10);04/09/2025 15:51;100;387,5685;
Monthly Domestic Values;1;2025;Fossil Gas;AT;B04;04/09/2025 15:48;100;1614,4101;
Monthly Domestic Values;2;2025;Fossil Gas;AT;B04;04/09/2025 15:48;100;1407,3288;
Monthly Domestic Values;3;2025;Fossil Gas;AT;B04;04/09/2025 15:48;100;885,127;
Monthly Domestic Values;4;2025;Fossil Gas;AT;B04;04/09/2025 15:48;100;468,9471;
Monthly Domestic Values;5;2025;Fossil Gas;AT;B04;04/09/2025 15:48;100;26,2507;
Monthly Domestic Values;6;2025;Fossil Gas;AT;B04;04/09/2025 15:48;100;31,6778;
Monthly Domestic Values;1;2025;Fossil Hard coal;AT;B05;04/09/2025 15:48;100;0;
Monthly Domestic Values;2;2025;Fossil Hard coal;AT;B05;04/09/2025 15:48;100;0;
Monthly Domestic Values;3;2025;Fossil Hard coal;AT;B05;04/09/2025 15:48;100;0;
Monthly Domestic Values;4;2025;Fossil Hard coal;AT;B05;04/09/2025 15:48;100;0;
Monthly Domestic Values;5;2025;Fossil Hard coal;AT;B05;04/09/2025 15:48;100;0;
Monthly Domestic Values;6;2025;Fossil Hard coal;AT;B05;04/09/2025 15:48;100;0;
Monthly Domestic Values;1;2025;Fossil Oil;AT;B06;04/09/2025 15:48;100;0;
Monthly Domestic Values;2;2025;Fossil Oil;AT;B06;04/09/2025 15:48;100;0;
Monthly Domestic Values;3;2025;Fossil Oil;AT;B06;04/09/2025 15:48;100;0;
Monthly Domestic Values;4;2025;Fossil Oil;AT;B06;04/09/2025 15:48;100;0;
Monthly Domestic Values;5;2025;Fossil Oil;AT;B06;04/09/2025 15:48;100;0;
Monthly Domestic Values;6;2025;Fossil Oil;AT;B06;04/09/2025 15:48;100;0;
Monthly Domestic Values;1;2025;Geothermal;AT;B09;04/09/2025 15:48;100;0,05208;
Monthly Domestic Values;2;2025;Geothermal;AT;B09;04/09/2025 15:48;100;0,04704;
Monthly Domestic Values;3;2025;Geothermal;AT;B09;04/09/2025 15:48;100;0,05208;
Monthly Domestic Values;4;2025;Geothermal;AT;B09;04/09/2025 15:48;100;0,0504;
Monthly Domestic Values;5;2025;Geothermal;AT;B09;04/09/2025 15:48;100;0,05208;
Monthly Domestic Values;6;2025;Geothermal;AT;B09;04/09/2025 15:48;100;0,0504;
