MeasureItem	Month	Year	Category	Area	MeasureItemID	CreationDate	Representativity	ProvidedValue	ProvidedValueCode
Monthly Domestic Values	1	2024	Biomass	AT	B01	2025-03-03 12:12:11	100	120.9070000	
Monthly Domestic Values	2	2024	Biomass	AT	B01	2025-03-03 12:12:11	100	132.0380000	
Monthly Domestic Values	3	2024	Biomass	AT	B01	2025-03-03 12:12:11	100	172.9660000	
Monthly Domestic Values	4	2024	Biomass	AT	B01	2025-03-03 12:12:11	100	194.5580000	
Monthly Domestic Values	5	2024	Biomass	AT	B01	2025-03-03 12:12:11	100	189.6200000	
Monthly Domestic Values	6	2024	Biomass	AT	B01	2025-03-03 12:12:11	100	131.8390000	
Monthly Domestic Values	7	2024	Biomass	AT	B01	2025-03-03 12:12:11	100	117.0580000	
Monthly Domestic Values	8	2024	Biomass	AT	B01	2025-03-03 12:12:11	100	106.6590000	
Monthly Domestic Values	9	2024	Biomass	AT	B01	2025-03-03 12:12:11	100	160.1540000	
Monthly Domestic Values	10	2024	Biomass	AT	B01	2025-03-03 12:12:11	100	189.6490000	
Monthly Domestic Values	11	2024	Biomass	AT	B01	2025-03-03 12:12:11	100	206.3080000	
Monthly Domestic Values	12	2024	Biomass	AT	B01	2025-03-03 12:12:11	100	211.7230000	
Monthly Domestic Values	1	2024	Consumption of Hydro Pumped Storage	AT	(B10)	2025-03-03 12:19:25	100	204.2097000	
Monthly Domestic Values	2	2024	Consumption of Hydro Pumped Storage	AT	(B10)	2025-03-03 12:19:25	100	111.1274000	
Monthly Domestic Values	3	2024	Consumption of Hydro Pumped Storage	AT	(B10)	2025-03-03 12:19:25	100	124.5871000	
Monthly Domestic Values	4	2024	Consumption of Hydro Pumped Storage	AT	(B10)	2025-03-03 12:19:25	100	169.5704000	
Monthly Domestic Values	5	2024	Consumption of Hydro Pumped Storage	AT	(B10)	2025-03-03 12:19:25	100	205.3995000	
Monthly Domestic Values	6	2024	Consumption of Hydro Pumped Storage	AT	(B10)	2025-03-03 12:19:25	100	311.3645000	
Monthly Domestic Values	7	2024	Consumption of Hydro Pumped Storage	AT	(B10)	2025-03-03 12:19:25	100	241.6884000	
Monthly Domestic Values	8	2024	Consumption of Hydro Pumped Storage	AT	(B10)	2025-03-03 12:19:25	100	250.6774000	
Monthly Domestic Values	9	2024	Consumption of Hydro Pumped Storage	AT	(B10)	2025-03-03 12:19:25	100	207.8594000	
Monthly Domestic Values	10	2024	Consumption of Hydro Pumped Storage	AT	(B10)	2025-03-03 12:19:25	100	101.8309000	
Monthly Domestic Values	11	2024	Consumption of Hydro Pumped Storage	AT	(B10)	2025-03-03 12:19:25	100	185.4193000	
Monthly Domestic Values	12	2024	Consumption of Hydro Pumped Storage	AT	(B10)	2025-03-03 12:19:25	100	210.3891000	
Monthly Domestic Values	1	2024	Fossil Gas	AT	B04	2025-03-03 12:12:11	100	1208.7151000	
Monthly Domestic Values	2	2024	Fossil Gas	AT	B04	2025-03-03 12:12:11	100	641.9592000	
Monthly Domestic Values	3	2024	Fossil Gas	AT	B04	2025-03-03 12:12:11	100	492.9559000	
Monthly Domestic Values	4	2024	Fossil Gas	AT	B04	2025-03-03 12:12:11	100	205.9168000	
Monthly Domestic Values	5	2024	Fossil Gas	AT	B04	2025-03-03 12:12:11	100	11.8061000	
Monthly Domestic Values	6	2024	Fossil Gas	AT	B04	2025-03-03 12:12:11	100	36.8992000	
Monthly Domestic Values	7	2024	Fossil Gas	AT	B04	2025-03-03 12:12:11	100	16.4726000	
Monthly Domestic Values	8	2024	Fossil Gas	AT	B04	2025-03-03 12:12:11	100	79.1548000	
Monthly Domestic Values	9	2024	Fossil Gas	AT	B04	2025-03-03 12:12:11	100	88.8415000	
Monthly Domestic Values	10	2024	Fossil Gas	AT	B04	2025-03-03 12:12:11	100	403.4815000	
Monthly Domestic Values	11	2024	Fossil Gas	AT	B04	2025-03-03 12:12:11	100	1485.5574000	
Monthly Domestic Values	12	2024	Fossil Gas	AT	B04	2025-03-03 12:12:11	100	1477.8705000	
Monthly Domestic Values	1	2024	Fossil Hard coal	AT	B05	2025-03-03 12:12:11	100	0.0000000	
Monthly Domestic Values	2	2024	Fossil Hard coal	AT	B05	2025-03-03 12:12:11	100	0.0000000	
Monthly Domestic Values	3	2024	Fossil Hard coal	AT	B05	2025-03-03 12:12:11	100	0.0000000	
Monthly Domestic Values	4	2024	Fossil Hard coal	AT	B05	2025-03-03 12:12:11	100	0.0000000	
Monthly Domestic Values	5	2024	Fossil Hard coal	AT	B05	2025-03-03 12:12:11	100	0.0000000	
Monthly Domestic Values	6	2024	Fossil Hard coal	AT	B05	2025-03-03 12:12:11	100	0.0000000	
Monthly Domestic Values	7	2024	Fossil Hard coal	AT	B05	2025-03-03 12:12:11	100	0.0000000	
Monthly Domestic Values	8	2024	Fossil Hard coal	AT	B05	2025-03-03 12:12:11	100	0.0000000	
Monthly Domestic Values	9	2024	Fossil Hard coal	AT	B05	2025-03-03 12:12:11	100	0.0000000	
Monthly Domestic Values	10	2024	Fossil Hard coal	AT	B05	2025-03-03 12:12:11	100	0.0000000	
Monthly Domestic Values	11	2024	Fossil Hard coal	AT	B05	2025-03-03 12:12:11	100	0.0000000	
Monthly Domestic Values	12	2024	Fossil Hard coal	AT	B05	2025-03-03 12:12:11	100	0.0000000	
Monthly Domestic Values	1	2024	Fossil Oil	AT	B06	2025-03-03 12:12:11	100	0.0000000	
Monthly Domestic Values	2	2024	Fossil Oil	AT	B06	2025-03-03 12:12:11	100	0.0000000	
Monthly Domestic Values	3	2024	Fossil Oil	AT	B06	2025-03-03 12:12:11	100	0.0000000	
Monthly Domestic Values	4	2024	Fossil Oil	AT	B06	2025-03-03 12:12:11	100	0.0000000	
Monthly Domestic Values	5	2024	Fossil Oil	AT	B06	2025-03-03 12:12:11	100	0.0000000	
Monthly Domestic Values	6	2024	Fossil Oil	AT	B06	2025-03-03 12:12:11	100	0.0000000	
Monthly Domestic Values	7	2024	Fossil Oil	AT	B06	2025-03-03 12:12:11	100	0.0000000	
Monthly Domestic Values	8	2024	Fossil Oil	AT	B06	2025-03-03 12:12:11	100	0.0000000	
Monthly Domestic Values	9	2024	Fossil Oil	AT	B06	2025-03-03 12:12:11	100	0.0000000	
Monthly Domestic Values	10	2024	Fossil Oil	AT	B06	2025-03-03 12:12:11	100	0.0000000	
Monthly Domestic Values	11	2024	Fossil Oil	AT	B06	2025-03-03 12:12:11	100	0.0000000	
Monthly Domestic Values	12	2024	Fossil Oil	AT	B06	2025-03-03 12:12:11	100	0.0000000	
Monthly Domestic Values	1	2024	Geothermal	AT	B09	2025-03-03 12:12:11	100	0.0520800	
Monthly Domestic Values	2	2024	Geothermal	AT	B09	2025-03-03 12:12:11	100	0.0487200	
Monthly Domestic Values	3	2024	Geothermal	AT	B09	2025-03-03 12:12:11	100	0.0520800	
Monthly Domestic Values	4	2024	Geothermal	AT	B09	2025-03-03 12:12:11	100	0.0504000	
Monthly Domestic Values	5	2024	Geothermal	AT	B09	2025-03-03 12:12:11	100	0.0520800	
Monthly Domestic Values	6	2024	Geothermal	AT	B09	2025-03-03 12:12:11	100	0.0504000	
Monthly Domestic Values	7	2024	Geothermal	AT	B09	2025-03-03 12:12:11	100	0.0520800	
Monthly Domestic Values	8	2024	Geothermal	AT	B09	2025-03-03 12:12:11	100	0.0520800	
Monthly Domestic Values	9	2024	Geothermal	AT	B09	2025-03-03 12:12:11	100	0.0504000	
Monthly Domestic Values	10	2024	Geothermal	AT	B09	2025-03-03 12:12:11	100	0.0520800	
Monthly Domestic Values	11	2024	Geothermal	AT	B09	2025-03-03 12:12:11	100	0.0504000	
Monthly Domestic Values	12	2024	Geothermal	AT	B09	2025-03-03 12:12:11	100	0.0520800	
Monthly Domestic Values	1	2024	Hydro Pumped Storage	AT	B10	2025-03-03 12:12:11	100	510.4165000	
Monthly Domestic Values	2	2024	Hydro Pumped Storage	AT	B10	2025-03-03 12:12:11	100	388.2153000	
Monthly Domestic Values	3	2024	Hydro Pumped Storage	AT	B10	2025-03-03 12:12:11	100	424.0680000	
Monthly Domestic Values	4	2024	Hydro Pumped Storage	AT	B10	2025-03-03 12:12:11	100	377.0904000	
Monthly Domestic Values	5	2024	Hydro Pumped Storage	AT	B10	2025-03-03 12:12:11	100	404.2146000	
Monthly Domestic Values	6	2024	Hydro Pumped Storage	AT	B10	2025-03-03 12:12:11	100	450.3837000	
Monthly Domestic Values	7	2024	Hydro Pumped Storage	AT	B10	2025-03-03 12:12:11	100	526.4795000	
Monthly Domestic Values	8	2024	Hydro Pumped Storage	AT	B10	2025-03-03 12:12:11	100	434.4876000	
Monthly Domestic Values	9	2024	Hydro Pumped Storage	AT	B10	2025-03-03 12:12:11	100	388.7288000	
Monthly Domestic Values	10	2024	Hydro Pumped Storage	AT	B10	2025-03-03 12:12:11	100	597.3920000	
Monthly Domestic Values	11	2024	Hydro Pumped Storage	AT	B10	2025-03-03 12:12:11	100	362.0163000	
Monthly Domestic Values	12	2024	Hydro Pumped Storage	AT	B10	2025-03-03 12:12:11	100	448.6956000	
Monthly Domestic Values	1	2024	Hydro Run-of-river and poundage	AT	B11	2025-03-03 12:12:11	100	2708.7646000	
Monthly Domestic Values	2	2024	Hydro Run-of-river and poundage	AT	B11	2025-03-03 12:12:11	100	2464.0145000	
Monthly Domestic Values	3	2024	Hydro Run-of-river and poundage	AT	B11	2025-03-03 12:12:11	100	2273.2998000	
Monthly Domestic Values	4	2024	Hydro Run-of-river and poundage	AT	B11	2025-03-03 12:12:11	100	2880.8745000	
Monthly Domestic Values	5	2024	Hydro Run-of-river and poundage	AT	B11	2025-03-03 12:12:11	100	3360.4057000	
Monthly Domestic Values	6	2024	Hydro Run-of-river and poundage	AT	B11	2025-03-03 12:12:11	100	3339.2968000	
Monthly Domestic Values	7	2024	Hydro Run-of-river and poundage	AT	B11	2025-03-03 12:12:11	100	3148.2637000	
Monthly Domestic Values	8	2024	Hydro Run-of-river and poundage	AT	B11	2025-03-03 12:12:11	100	2370.9943000	
Monthly Domestic Values	9	2024	Hydro Run-of-river and poundage	AT	B11	2025-03-03 12:12:11	100	2674.9978000	
Monthly Domestic Values	10	2024	Hydro Run-of-river and poundage	AT	B11	2025-03-03 12:12:11	100	3249.9892000	
Monthly Domestic Values	11	2024	Hydro Run-of-river and poundage	AT	B11	2025-03-03 12:12:11	100	1771.0270000	
Monthly Domestic Values	12	2024	Hydro Run-of-river and poundage	AT	B11	2025-03-03 12:12:11	100	1605.8960000	
Monthly Domestic Values	1	2024	Hydro Water Reservoir	AT	B12	2025-03-03 12:12:11	100	437.7750000	
Monthly Domestic Values	2	2024	Hydro Water Reservoir	AT	B12	2025-03-03 12:12:11	100	282.0415000	
Monthly Domestic Values	3	2024	Hydro Water Reservoir	AT	B12	2025-03-03 12:12:11	100	262.3806000	
Monthly Domestic Values	4	2024	Hydro Water Reservoir	AT	B12	2025-03-03 12:12:11	100	310.5908000	
Monthly Domestic Values	5	2024	Hydro Water Reservoir	AT	B12	2025-03-03 12:12:11	100	442.7440000	
Monthly Domestic Values	6	2024	Hydro Water Reservoir	AT	B12	2025-03-03 12:12:11	100	550.4111000	
