MeasureItem;Year;Month;Value;ProvidedValue;AVG_Value;FromAreaCode;ToAreaCode;MeasureTime;Direction;Flag;FromAreaMemberType;ToAreaMemberType
Physical Energy & Power Flows;2024;1;107;107;107;AL;GR;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;1;39;39;39;AL;GR;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;2;109;109;109;AL;GR;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;2;42;42;42;AL;GR;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;3;120;120;120;AL;GR;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;3;56;56;56;AL;GR;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;4;42;42;42;AL;GR;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;4;135;135;135;AL;GR;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;5;50;50;50;AL;GR;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;5;63;63;63;AL;GR;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;6;56;56;56;AL;GR;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;6;50;50;50;AL;GR;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;7;11;11;11;AL;GR;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;7;127;127;127;AL;GR;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;8;17;17;17;AL;GR;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;8;102;102;102;AL;GR;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;9;47;47;47;AL;GR;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;9;57;57;57;AL;GR;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;10;54;54;54;AL;GR;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;10;83;83;83;AL;GR;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;11;12;12;12;AL;GR;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;11;163;163;163;AL;GR;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;12;31;31;31;AL;GR;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;12;126;126;126;AL;GR;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;1;60;60;60;AL;ME;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;1;59;59;59;AL;ME;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;2;55;55;55;AL;ME;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;2;67;67;67;AL;ME;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;3;68;68;68;AL;ME;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;3;96;96;96;AL;ME;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;4;203;203;203;AL;ME;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;4;25;25;25;AL;ME;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;5;131;131;131;AL;ME;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;5;26;26;26;AL;ME;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;6;24;24;24;AL;ME;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;6;109;109;109;AL;ME;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;7;16;16;16;AL;ME;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;7;107;107;107;AL;ME;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;8;14;14;14;AL;ME;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;8;112;112;112;AL;ME;Monthly Value;Import;Harmonized;M;M
